mode; se_or_pa; number; solver; ver; instance; timeout; width; validation_result; exit_status; time_real; time_user; time_sys; time_perc; time_mem
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GNP_20_10_1.gr; 100s; 4; 0; 0; 0.13; 0.11; 0.00; 93%; 17680
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GNP_20_20_0.gr; 100s; 7; 0; 0; 0.47; 0.41; 1.38; 378%; 78192
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GNP_20_20_1.gr; 100s; 8; 0; 0; 0.41; 0.36; 1.73; 507%; 59540
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GNP_20_30_0.gr; 100s; 9; 0; 0; 0.88; 0.54; 1.73; 259%; 73808
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GNP_20_30_1.gr; 100s; 9; 0; 0; 0.56; 0.44; 1.47; 340%; 79792
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GNP_20_40_0.gr; 100s; 11; 0; 0; 0.86; 0.54; 1.41; 227%; 77472
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GNP_20_40_1.gr; 100s; 9; 0; 0; 0.68; 0.39; 1.58; 288%; 75960
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GNP_20_50_0.gr; 100s; 11; 0; 0; 1.02; 0.73; 1.17; 186%; 76192
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GNP_20_50_1.gr; 100s; 13; 0; 0; 0.88; 0.63; 1.54; 245%; 75404
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GTFS_VBB_EndeApr_Dez2016.zip_tram.gr.bz2; 100s; 6; 0; 0; 0.91; 0.87; 1.03; 208%; 85888
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GeneralizedPetersenGraph_10_4.gr; 100s; 7; 0; 0; 0.97; 1.90; 1.38; 335%; 75464
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GoethalsSeidelGraph_2_3.gr; 100s; 12; 0; 0; 0.54; 0.37; 1.30; 309%; 73008
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GoldnerHararyGraph.gr; 100s; 4; 0; 0; 0.08; 0.07; 0.00; 91%; 19840
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GossetGraph.gr; 100s; 44; 0; 0; 36.09; 320.68; 7.26; 908%; 133156
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GrayGraph.gr; 100s; -1; 2; 124; 100.06; 96.36; 1.97; 98%; 385496
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GrotzschGraph.gr; 100s; 6; 0; 0; 0.37; 0.34; 1.52; 504%; 62028
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; HallJankoGraph.gr; 100s; -1; 2; 124; 100.00; 97.75; 1.38; 99%; 45132
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; HanoiTowerGraph_4_3.gr; 100s; -1; 2; 124; 100.03; 98.82; 1.19; 99%; 289896
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; HararyGraph_6_15.gr; 100s; 7; 0; 0; 0.57; 0.47; 1.61; 364%; 75912
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; HarborthGraph.gr; 100s; -1; 2; 124; 100.02; 143.07; 65.14; 208%; 103760
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; HarriesGraph.gr; 100s; -1; 2; 124; 100.06; 96.62; 1.81; 98%; 301020
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; HeawoodGraph.gr; 100s; 6; 0; 0; 0.63; 0.45; 1.44; 302%; 76244
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; HigmanSimsGraph.gr; 100s; -1; 2; 124; 100.01; 99.41; 0.37; 99%; 42276
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; HoffmanGraph.gr; 100s; 7; 0; 0; 0.63; 0.50; 1.76; 360%; 75248
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; HoffmanSingletonGraph.gr; 100s; -1; 2; 124; 100.05; 96.68; 1.80; 98%; 302788
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; HyperStarGraph_10_2.gr; 100s; 9; 0; 0; 0.11; 0.09; 0.00; 95%; 25408
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; IcosahedralGraph.gr; 100s; 7; 0; 0; 0.39; 0.34; 1.81; 552%; 70404
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; JohnsonGraph_10_4.gr; 100s; -1; 2; 124; 100.01; 95.85; 2.75; 98%; 45696
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; KittellGraph.gr; 100s; 8; 0; 0; 1.29; 1.15; 2.19; 258%; 80060
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; KneserGraph_8_3.gr; 100s; -1; 2; 124; 100.04; 2070.71; 12.28; 2082%; 633572
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; KneserGraph_10_2.gr; 100s; 36; 0; 0; 8.69; 7.66; 4.85; 143%; 97748
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; LadderGraph_20.gr; 100s; 3; 0; 0; 0.09; 0.07; 0.01; 92%; 20016
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; LjubljanaGraph.gr; 100s; -1; 2; 124; 100.03; 96.16; 1.77; 97%; 175664
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; MarkstroemGraph.gr; 100s; 5; 0; 0; 0.23; 0.24; 1.76; 846%; 35344
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; McGeeGraph.gr; 100s; 8; 0; 0; 6.63; 50.64; 2.50; 801%; 119868
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; MeredithGraph.gr; 100s; -1; 2; 124; 100.04; 96.57; 1.75; 98%; 331520
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; NauruGraph.gr; 100s; 7; 0; 0; 4.59; 29.70; 3.33; 719%; 99340
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; NonisotropicOrthogonalPolarGraph_3_5.gr; 100s; 11; 0; 0; 0.58; 0.45; 1.89; 401%; 73256
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; NonisotropicUnitaryPolarGraph_3_3.gr; 100s; 54; 0; 0; 32.37; 135.07; 7.85; 441%; 107488
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; OddGraph_4.gr; 100s; -1; 2; 124; 100.09; 97.14; 1.62; 98%; 660652
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; OrthogonalArrayBlockGraph_4_3.gr; 100s; 9; 0; 0; 0.13; 0.10; 0.01; 94%; 21748
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; PaleyGraph_17.gr; 100s; 12; 0; 0; 0.71; 0.56; 2.09; 373%; 75996
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; PappusGraph.gr; 100s; 7; 0; 0; 0.92; 1.13; 1.69; 304%; 78068
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; PoussinGraph.gr; 100s; 7; 0; 0; 0.55; 0.40; 1.84; 405%; 77464
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RKT_20_40_10_0.gr; 100s; 10; 0; 0; 0.64; 0.48; 1.55; 319%; 78460
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RKT_20_40_10_1.gr; 100s; 11; 0; 0; 0.84; 0.62; 1.47; 248%; 74424
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RKT_20_50_10_0.gr; 100s; 10; 0; 0; 0.65; 0.46; 1.43; 292%; 79880
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RKT_20_50_10_1.gr; 100s; 9; 0; 0; 0.78; 0.57; 1.49; 264%; 79132
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RKT_20_60_10_0.gr; 100s; 8; 0; 0; 0.33; 0.34; 1.71; 623%; 43368
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RKT_20_60_10_1.gr; 100s; 9; 0; 0; 0.62; 0.48; 1.56; 326%; 79276
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RKT_20_70_10_0.gr; 100s; 7; 0; 0; 0.21; 0.27; 1.56; 847%; 39384
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RKT_20_70_10_1.gr; 100s; 7; 0; 0; 0.59; 0.38; 1.83; 375%; 73380
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RKT_20_80_10_0.gr; 100s; 5; 0; 0; 0.19; 0.25; 1.64; 957%; 38328
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RKT_20_80_10_1.gr; 100s; 6; 0; 0; 0.08; 0.08; 0.00; 94%; 21828
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RKT_100_80_30_0.gr; 100s; -1; 2; 124; 100.01; 99.19; 0.54; 99%; 46268
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RKT_100_90_30_0.gr; 100s; -1; 2; 124; 100.03; 96.97; 1.61; 98%; 216124
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RKT_300_75_30_0.gr; 100s; -1; 2; 124; 100.00; 95.20; 3.05; 98%; 46896
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RKT_300_90_30_0.gr; 100s; -1; 2; 124; 100.01; 97.20; 1.50; 98%; 80936
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RKT_500_80_30_0.gr; 100s; -1; 2; 124; 100.01; 97.38; 2.58; 99%; 70028
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RandomBarabasiAlbert_100_2.gr; 100s; -1; 2; 124; 100.05; 97.28; 1.52; 98%; 271740
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RandomBarabasiAlbert_100_5.gr; 100s; -1; 2; 124; 100.01; 95.11; 3.45; 98%; 112680
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RandomBipartite_10_50_3.gr; 100s; 10; 0; 0; 0.82; 0.78; 0.02; 97%; 27828
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RandomBipartite_25_50_1.gr; 100s; -1; 2; 124; 100.03; 99.05; 0.93; 99%; 459504
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RandomBipartite_25_50_3.gr; 100s; -1; 2; 124; 100.02; 94.32; 4.08; 98%; 128708
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RandomBoundedToleranceGraph_60.gr; 100s; -1; 2; 124; 100.01; 96.27; 2.90; 99%; 55208
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RandomBoundedToleranceGraph_80.gr; 100s; -1; 2; 124; 100.00; 93.14; 4.69; 97%; 48924
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RandomGNM_100_100.gr; 100s; 7; 0; 0; 2.09; 5.84; 2.37; 393%; 81220
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RandomGNM_250_1000.gr; 100s; -1; 2; 124; 100.01; 98.36; 1.61; 99%; 60732
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RandomGNM_500_500.gr; 100s; -1; 2; 124; 100.01; 98.47; 1.61; 100%; 114336
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RandomHolmeKim_300_2_2.gr; 100s; -1; 2; 124; 100.01; 98.77; 1.25; 100%; 113180
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RandomHolmeKim_700_2_2.gr; 100s; -1; 2; 124; 100.03; 98.82; 1.12; 99%; 455200
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RandomNewmanWattsStrogatz_100_5_3.gr; 100s; -1; 2; 124; 100.02; 94.38; 3.90; 98%; 128560
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RandomNewmanWattsStrogatz_250_10_3.gr; 100s; -1; 2; 124; 100.00; 93.07; 4.13; 97%; 43944
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RandomTriangulation_800.gr; 100s; -1; 2; 124; 100.00; 96.42; 3.57; 99%; 43160
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RingedTree_6.gr; 100s; -1; 2; 124; 100.07; 96.82; 1.71; 98%; 462888
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RingedTree_8.gr; 100s; -1; 2; 124; 100.00; 95.88; 1.90; 97%; 50700
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; RingedTree_10.gr; 100s; -1; 2; 124; 100.00; 93.52; 3.13; 96%; 48372
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; SchlaefliGraph.gr; 100s; 22; 0; 0; 1.92; 1.30; 2.53; 199%; 78196
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; ShrikhandeGraph.gr; 100s; 10; 0; 0; 0.60; 0.45; 1.69; 356%; 77900
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; SierpinskiGasketGraph_3.gr; 100s; 4; 0; 0; 0.12; 0.10; 0.01; 94%; 19696
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; SimsGewirtzGraph.gr; 100s; -1; 2; 124; 100.02; 1750.22; 15.32; 1765%; 378552
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; SquaredSkewHadamardMatrixGraph_2.gr; 100s; 41; 0; 0; 8.52; 26.61; 4.75; 367%; 101892
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; SquaredSkewHadamardMatrixGraph_3.gr; 100s; -1; 2; 124; 100.00; 92.87; 4.37; 97%; 44748
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; StarGraph_100.gr; 100s; 2; 0; 0; 0.13; 0.11; 0.01; 92%; 19820
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; SylvesterGraph.gr; 100s; -1; 2; 124; 100.10; 97.21; 1.68; 98%; 522464
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; SymplecticDualPolarGraph_4_4.gr; 100s; -1; 2; 124; 100.00; 99.58; 0.24; 99%; 42956
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; SymplecticPolarGraph_4_4.gr; 100s; -1; 2; 124; 100.00; 99.58; 0.26; 99%; 42280
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; SzekeresSnarkGraph.gr; 100s; -1; 2; 124; 100.09; 96.71; 1.90; 98%; 437884
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; TaylorTwographDescendantSRG_3.gr; 100s; 18; 0; 0; 1.81; 1.65; 2.37; 222%; 79764
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; TaylorTwographSRG_3.gr; 100s; 23; 0; 0; 1.86; 1.19; 2.65; 206%; 81128
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; Toroidal6RegularGrid2dGraph_4_6.gr; 100s; 10; 0; 0; 1.36; 1.71; 2.76; 328%; 84464
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; Tutte12Cage.gr; 100s; -1; 2; 124; 100.03; 95.60; 2.29; 97%; 173592
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; WheelGraph_100.gr; 100s; 4; 0; 0; 0.38; 0.34; 0.03; 97%; 28796
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; WorldMap.gr; 100s; 6; 0; 0; 1.77; 1.05; 2.60; 206%; 86948
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; aes_32_3_keyfind_1.gaifman.gr; 100s; -1; 2; 124; 100.04; 96.44; 1.98; 98%; 171352
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; aes_64_1_keyfind_1.gaifman.gr; 100s; -1; 2; 124; 100.02; 96.31; 2.53; 98%; 230912
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_calc_input_to_operand1.gr; 100s; 3; 0; 0; 0.10; 0.09; 0.00; 93%; 19924
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_collect_enqueue_dummy_packet.gr; 100s; 3; 0; 0; 0.12; 0.10; 0.00; 95%; 22116
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_collect_received_announcement.gr; 100s; 3; 0; 0; 0.11; 0.08; 0.01; 95%; 20144
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_collect_send_ack.gr; 100s; 2; 0; 0; 0.12; 0.09; 0.01; 91%; 24464
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_collect_send_next_packet.gr; 100s; 2; 0; 0; 0.11; 0.10; 0.00; 91%; 17752
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_collect_send_queued_packet.gr; 100s; 3; 0; 0; 0.16; 0.12; 0.03; 96%; 29200
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_contikimac_input_packet.gr; 100s; 4; 0; 0; 0.14; 0.11; 0.02; 93%; 27780
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_contikimac_powercycle.gr; 100s; 6; 0; 0; 0.98; 0.77; 0.99; 180%; 84720
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_ctk_ctk_menu_add.gr; 100s; 3; 0; 0; 0.10; 0.07; 0.02; 92%; 19852
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_cxmac_input_packet.gr; 100s; 4; 0; 0; 0.13; 0.11; 0.01; 93%; 26016
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_dhcpc_dhcpc_init.gr; 100s; 3; 0; 0; 0.10; 0.08; 0.01; 95%; 21964
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_dhcpc_dhcpc_request.gr; 100s; 3; 0; 0; 0.11; 0.09; 0.00; 93%; 20020
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_dhcpc_handle_dhcp.gr; 100s; -1; 2; 124; 100.05; 98.27; 5.68; 103%; 324592
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_httpd-cfs_send_file.gr; 100s; 4; 0; 0; 0.10; 0.08; 0.01; 92%; 24312
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_httpd-cfs_send_headers.gr; 100s; 4; 0; 0; 0.13; 0.10; 0.02; 94%; 26004
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_ifft_ifft.gr; 100s; 3; 0; 0; 0.21; 0.17; 0.02; 95%; 34028
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_ircc_handle_connection.gr; 100s; 5; 0; 0; 1.13; 1.09; 0.02; 98%; 41064
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_ircc_list_channel.gr; 100s; 4; 0; 0; 0.16; 0.13; 0.01; 94%; 28644
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_lpp_dutycycle.gr; 100s; 6; 0; 0; 0.65; 0.46; 1.80; 344%; 78076
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_lpp_init.gr; 100s; 2; 0; 0; 0.08; 0.07; 0.00; 91%; 19716
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_lpp_send_packet.gr; 100s; 3; 0; 0; 0.14; 0.13; 0.00; 93%; 31476
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_lpp_send_probe.gr; 100s; 3; 0; 0; 0.11; 0.09; 0.00; 93%; 27944
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_nullrdc_packet_input.gr; 100s; 4; 0; 0; 0.08; 0.07; 0.00; 90%; 19880
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_polite-announcement_send_timer.gr; 100s; 3; 0; 0; 0.12; 0.09; 0.01; 93%; 19964
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_powertrace_add_stats.gr; 100s; 3; 0; 0; 0.13; 0.11; 0.01; 94%; 24844
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_powertrace_powertrace_print.gr; 100s; 3; 0; 0; 2.22; 2.00; 0.14; 96%; 100500
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_process_exit_process.gr; 100s; 4; 0; 0; 0.13; 0.10; 0.02; 95%; 25024
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; contiki_profile_profile_episode_start.gr; 100s; 3; 0; 0; 0.14; 0.11; 0.01; 93%; 19756
